grid_x,grid_y,foot_traffic,count,foot_count,x_5179,y_5179,geometry,lat,lon
36,56,0.0895295964994612,4,1654.1499997761753,960338.9228871616,1945796.2931122007,POINT (127.05123268354275 37.51059459414739),37.51059459414739,127.05123268354275
36,57,0.0844910346575529,4,1561.0574650665496,960338.9228871616,1945896.2931122007,POINT (127.05122728702644 37.51149593140803),37.51149593140803,127.05122728702644
36,58,0.1818632848313696,4,3360.10843704534,960338.9228871616,1945996.2931122007,POINT (127.05122189026973 37.51239726853012),37.51239726853012,127.05122189026973
36,59,0.1619178833258162,4,2991.596937095204,960338.9228871616,1946096.2931122007,POINT (127.05121649327265 37.51329860551365),37.51329860551365,127.05121649327265
36,60,0.0955025492907397,4,1764.50635392791,960338.9228871616,1946196.2931122007,POINT (127.05121109603516 37.51419994235863),37.51419994235863,127.05121109603516
36,61,0.1359958463261086,4,2512.661041326676,960338.9228871616,1946296.2931122007,POINT (127.05120569855723 37.51510127906506),37.51510127906506,127.05120569855723
36,62,0.0642072931882411,4,1186.2947915061475,960338.9228871616,1946396.2931122007,POINT (127.0512003008389 37.516002615632914),37.516002615632914,127.0512003008389
36,63,0.0992335411286591,4,1833.4402080852492,960338.9228871616,1946496.2931122007,POINT (127.05119490288011 37.516903952062236),37.516903952062236,127.05119490288011
36,64,0.1301745146745053,4,2405.106041341229,960338.9228871616,1946596.2931122007,POINT (127.05118950468088 37.51780528835299),37.51780528835299,127.05118950468088
36,65,0.1300584745786888,2,2402.962083008187,960338.9228871616,1946696.2931122007,POINT (127.0511841062412 37.51870662450519),37.51870662450519,127.0511841062412
36,66,0.1524416855670172,4,2816.514582952229,960338.9228871616,1946796.2931122007,POINT (127.05117870756104 37.51960796051883),37.51960796051883,127.05117870756104
36,67,0.1154186481632158,4,2132.476458044786,960338.9228871616,1946896.2931122007,POINT (127.05117330864039 37.52050929639392),37.52050929639392,127.05117330864039
36,68,0.0886693144014892,4,1638.2554164449928,960338.9228871616,1946996.2931122007,POINT (127.05116790947925 37.52141063213043),37.52141063213043,127.05116790947925
36,69,0.0653469277314363,3,1207.3506942810764,960338.9228871616,1947096.2931122007,POINT (127.05116251007759 37.522311967728385),37.522311967728385,127.05116251007759
36,70,0.0593638623538269,4,1096.8074998515897,960338.9228871616,1947196.2931122007,POINT (127.05115711043543 37.52321330318777),37.52321330318777,127.05115711043543
36,71,0.0795085289808701,4,1469.0006248012276,960338.9228871616,1947296.2931122007,POINT (127.05115171055272 37.5241146385086),37.5241146385086,127.05115171055272
36,72,0.1374532720426032,4,2539.588457989699,960338.9228871616,1947396.2931122007,POINT (127.05114631042947 37.525015973690856),37.525015973690856,127.05114631042947
36,73,0.1493448549387734,4,2759.297499626636,960338.9228871616,1947496.2931122007,POINT (127.05114091006568 37.52591730873455),37.52591730873455,127.05114091006568
36,74,0.1780168922401109,4,3289.0424370549576,960338.9228871616,1947596.2931122007,POINT (127.05113550946132 37.526818643639665),37.526818643639665,127.05113550946132
36,75,0.0477457353686164,4,882.150833213969,960338.9228871616,1947696.2931122007,POINT (127.0511301086164 37.527719978406225),37.527719978406225,127.0511301086164
36,76,0.0272143570574465,4,502.81281811378204,960338.9228871616,1947796.2931122007,POINT (127.05112470753087 37.5286213130342),37.5286213130342,127.05112470753087
36,77,0.0213093937650517,3,393.7126388356149,960338.9228871616,1947896.2931122007,POINT (127.05111930620475 37.52952264752361),37.52952264752361,127.05111930620475
37,10,0.0462323316663408,1,854.1891665510849,960438.9228871616,1941196.2931122007,POINT (127.05261151241614 37.46913721739258),37.46913721739258,127.05261151241614
37,12,0.0193327242327701,1,357.1916666183341,960438.9228871616,1941396.2931122007,POINT (127.05260076838952 37.470939904797056),37.470939904797056,127.05260076838952
37,13,0.0589942840640121,1,1089.9791665191804,960438.9228871616,1941496.2931122007,POINT (127.05259539601734 37.471841248291554),37.471841248291554,127.05259539601734
37,14,0.0967535575941522,3,1787.6199997581157,960438.9228871616,1941596.2931122007,POINT (127.05259002340586 37.472742591647545),37.472742591647545,127.05259002340586
