geometry_wkt,building_area_total,building_count
"POLYGON ((957700 1945800, 957700 1945900, 957800 1945900, 957800 1945800, 957700 1945800))",436.82,0
"POLYGON ((957700 1945900, 957700 1946000, 957800 1946000, 957800 1945900, 957700 1945900))",257.11,1
"POLYGON ((957700 1946000, 957700 1946100, 957800 1946100, 957800 1946000, 957700 1946000))",190.79,3
"POLYGON ((957700 1946100, 957700 1946200, 957800 1946200, 957800 1946100, 957700 1946100))",233.44,4
"POLYGON ((957700 1946200, 957700 1946300, 957800 1946300, 957800 1946200, 957700 1946200))",5259.74,0
"POLYGON ((957700 1946300, 957700 1946400, 957800 1946400, 957800 1946300, 957700 1946300))",166.26,5
"POLYGON ((957700 1946400, 957700 1946500, 957800 1946500, 957800 1946400, 957700 1946400))",214.78,1
"POLYGON ((957700 1946500, 957700 1946600, 957800 1946600, 957800 1946500, 957700 1946500))",225.42,0
"POLYGON ((957700 1946600, 957700 1946700, 957800 1946700, 957800 1946600, 957700 1946600))",165.47,4
"POLYGON ((957700 1946700, 957700 1946800, 957800 1946800, 957800 1946700, 957700 1946700))",137.31,10
"POLYGON ((957700 1946800, 957700 1946900, 957800 1946900, 957800 1946800, 957700 1946800))",146.96,14
"POLYGON ((957700 1946900, 957700 1947000, 957800 1947000, 957800 1946900, 957700 1946900))",165.75,4
"POLYGON ((957700 1947000, 957700 1947100, 957800 1947100, 957800 1947000, 957700 1947000))",137.65,11
"POLYGON ((957700 1947100, 957700 1947200, 957800 1947200, 957800 1947100, 957700 1947100))",166.49,0
"POLYGON ((957700 1947200, 957700 1947300, 957800 1947300, 957800 1947200, 957700 1947200))",199.09,0
"POLYGON ((957700 1947300, 957700 1947400, 957800 1947400, 957800 1947300, 957700 1947300))",0.0,0
"POLYGON ((957700 1947400, 957700 1947500, 957800 1947500, 957800 1947400, 957700 1947400))",2561.58,0
"POLYGON ((957700 1947500, 957700 1947600, 957800 1947600, 957800 1947500, 957700 1947500))",0.0,0
"POLYGON ((957700 1947600, 957700 1947700, 957800 1947700, 957800 1947600, 957700 1947600))",0.0,0
"POLYGON ((957700 1947700, 957700 1947800, 957800 1947800, 957800 1947700, 957700 1947700))",0.0,0
"POLYGON ((957700 1947800, 957700 1947900, 957800 1947900, 957800 1947800, 957700 1947800))",0.0,0
"POLYGON ((957700 1947900, 957700 1948000, 957800 1948000, 957800 1947900, 957700 1947900))",0.0,0
"POLYGON ((957700 1948000, 957700 1948100, 957800 1948100, 957800 1948000, 957700 1948000))",0.0,0
"POLYGON ((957700 1948100, 957700 1948200, 957800 1948200, 957800 1948100, 957700 1948100))",0.0,0
"POLYGON ((957700 1948200, 957700 1948300, 957800 1948300, 957800 1948200, 957700 1948200))",0.0,0
"POLYGON ((957700 1948300, 957700 1948400, 957800 1948400, 957800 1948300, 957700 1948300))",0.0,0
"POLYGON ((957700 1948400, 957700 1948500, 957800 1948500, 957800 1948400, 957700 1948400))",0.0,0
"POLYGON ((957700 1948500, 957700 1948600, 957800 1948600, 957800 1948500, 957700 1948500))",0.0,0
"POLYGON ((957700 1948600, 957700 1948700, 957800 1948700, 957800 1948600, 957700 1948600))",0.0,0
"POLYGON ((957800 1945300, 957800 1945400, 957900 1945400, 957900 1945300, 957800 1945300))",0.0,0
"POLYGON ((957800 1945400, 957800 1945500, 957900 1945500, 957900 1945400, 957800 1945400))",275.59,0
"POLYGON ((957800 1945500, 957800 1945600, 957900 1945600, 957900 1945500, 957800 1945500))",364.5,0
