연번,자치구명,설치위치(도로명 주소),세부 위치,설치 장소 유형,수거 쓰레기 종류,lat1,lon1,snapped_geometry,geometry,lat,lng,grid_x,grid_y
4830,강남구,도곡로 516,삼성상가 앞 버스정류장(23-235),"정류소(버스,택시 등)",일반쓰레기,37.4991812807975,127.062987853204,POINT (961359.201757365 1944556.2567958036),POINT (127.06284206247526 37.499460951491095),37.499460951491095,127.06284206247526,63531,18749
4831,강남구,도곡로 516,삼성상가 앞 버스정류장(23-235),"정류소(버스,택시 등)",재활용쓰레기,37.4991812807975,127.062987853204,POINT (961359.201757365 1944556.2567958036),POINT (127.06284206247526 37.499460951491095),37.499460951491095,127.06284206247526,63531,18749
4832,강남구,도곡로 327,한티역7번출구 버스정류장(23-310),"정류소(버스,택시 등)",일반쓰레기,37.4961576822631,127.051664493211,POINT (960378.5504488107 1944173.8284136874),POINT (127.05176849460857 37.49597239768265),37.49597239768265,127.05176849460857,63525,18747
4833,강남구,도곡로 327,한티역7번출구 버스정류장(23-310),"정류소(버스,택시 등)",재활용쓰레기,37.4961576822631,127.051664493211,POINT (960378.5504488107 1944173.8284136874),POINT (127.05176849460857 37.49597239768265),37.49597239768265,127.05176849460857,63525,18747
4834,강남구,도곡로43길 21,래미안그레이튼아파트 버스정류장(23-311),"정류소(버스,택시 등)",일반쓰레기,37.4957277729688,127.047011616273,POINT (959959.9718148661 1944143.5895713554),POINT (127.04703495837614 37.495681781868655),37.495681781868655,127.04703495837614,63523,18747
4835,강남구,도곡로43길 21,래미안그레이튼아파트 버스정류장(23-311),"정류소(버스,택시 등)",재활용쓰레기,37.4957277729688,127.047011616273,POINT (959959.9718148661 1944143.5895713554),POINT (127.04703495837614 37.495681781868655),37.495681781868655,127.04703495837614,63523,18747
4836,강남구,도곡로 253,BMW오토바이매장 앞,도로변(횡단보도 포함),일반쓰레기,37.4943290359825,127.045901640479,POINT (959871.3683286884 1943961.338226236),POINT (127.04604257637 37.494035231783236),37.494035231783236,127.04604257637,63523,18747
4837,강남구,도곡로 253,BMW오토바이매장 앞,도로변(횡단보도 포함),재활용쓰레기,37.4943290359825,127.045901640479,POINT (959871.3683286884 1943961.338226236),POINT (127.04604257637 37.494035231783236),37.494035231783236,127.04604257637,63523,18747
4838,강남구,도곡로 213,마고빌딩앞 버스정류장(23-312),"정류소(버스,택시 등)",일반쓰레기,37.493074807122,127.042103900522,POINT (959532.0147228721 1943832.129208918),POINT (127.04221083960623 37.492855807063336),37.492855807063336,127.04221083960623,63521,18746
4839,강남구,도곡로 213,마고빌딩앞 버스정류장(23-312),"정류소(버스,택시 등)",재활용쓰레기,37.493074807122,127.042103900522,POINT (959532.0147228721 1943832.129208918),POINT (127.04221083960623 37.492855807063336),37.492855807063336,127.04221083960623,63521,18746
