index,grid_id,place_id,name,category,lat,lon
1436,152,17056592,GS25 S논현역점,편의점,37.5111982,127.0216576
1441,152,21161039,논현역 7호선,지하철역,37.5112,127.0216542
1455,152,1174806960,하이콴,음식점,37.5108208,127.0210128
1456,152,1941260769,디오니소스라운지,음식점,37.51103958,127.0218793
1457,152,582886575,섬마을,음식점,37.51089355,127.0222547
1458,152,1645465812,꼬들삼겹살,음식점,37.51073703,127.0208793
1459,152,2110693036,어가,음식점,37.51096744,127.0222186
1460,152,319104972,쿠라,음식점,37.51075053,127.0209133
1461,152,662220091,핫브레드 논현역점,음식점,37.51113247,127.0214224
1462,152,993636779,마성떡볶이 논현역점,음식점,37.5111991,127.0216576
1463,152,1653278791,빠스타gram 논현점,음식점,37.51106841,127.0218861
1464,152,388463262,에스지푸드 논현역 마성떡볶이,음식점,37.5111991,127.0216576
1465,152,562456612,투썸플레이스 논현역사거리점,카페,37.51100086,127.0217899
1466,152,586985971,카페베네 논현역점,카페,37.51145771,127.0215356
1467,152,1506442499,매머드익스프레스 논현역점,카페,37.510935,127.0222186
1468,152,1446465920,루루아카페,카페,37.51074423,127.0208884
1470,152,10060027,언약커피,카페,37.51088101,127.0218747
1487,152,274424286,나무약국,약국,37.5111991,127.0216576
1488,152,238594377,365논현역약국,약국,37.5111991,127.0216576
1489,153,8583229,GS25 논현삼익점,편의점,37.51217034,127.0219022
1503,153,826859593,스페이스학동,문화시설,37.51189007,127.0221804
1506,153,19478634,논현각,음식점,37.51195136,127.0220786
1555,154,225009338,봉산평양냉면,음식점,37.51282541,127.0216581
1557,154,11416132,애덕한정식,음식점,37.51235146,127.0218027
1558,154,21416801,무쇠막 김치찌게,음식점,37.5125668,127.0217825
1560,154,601772781,박성희가 요리하는집,음식점,37.51271005,127.0218526
1562,154,787133047,논현담설렁탕,음식점,37.51236587,127.0218028
1565,154,906441169,봉이치킨 논현점,음식점,37.51272986,127.0219024
1569,154,13330760,더테이블,카페,37.51226848,127.0222857
1570,154,169497769,에이엔아더 논현,카페,37.51311104,127.0216062
1571,154,1064414609,웨더커뮤니케이션즈,카페,37.51278389,127.0220551
1572,154,1917338645,컬러드,카페,37.5127857,127.0220517
1574,154,21414265,앤씨,카페,37.51311194,127.0215948
1619,156,2063200021,삼첩분식 서울논현점,음식점,37.51493551,127.0219268
1620,156,23120674,진진도시락,음식점,37.51483822,127.0218532
1621,156,956351199,통큰두마리찜닭 강남논현점,음식점,37.51485533,127.0219019
1622,156,1959682958,배달육회 육회한가득 신사논현점,음식점,37.51485174,127.0218431
1623,156,21332454,피자코렐,음식점,37.51480578,127.0218623
1624,156,17495717,맛고을,음식점,37.51483462,127.0218578
1636,157,71565757,논현1647,음식점,37.51527785,127.0221656
1637,157,1975925525,트랑블루1647,음식점,37.51528867,127.0221565
1638,157,1291678947,키라키라치즈케이크,음식점,37.51555272,127.0218421
1646,157,205244646,웨스키하우스,음식점,37.51528506,127.0221633
1648,157,660306746,디저트39 신사역점,카페,37.51527965,127.0221656
1650,157,832298279,이제이스 모자이크,카페,37.51559499,127.0222335
